"SENTIDO","NAVEGACAO","PAIS_PORTO_ESTRANG","REGIAO_ORIGEM","BERCO","PORTO_ATRACACAO","ATRACACAO","MES_ATRAC","ANO_ATRAC","DESATRACACAO","ANO_DESAT","TEMPO_ESTADIA_HORAS","CAPITULO","SECAO","TIPO_CARGA","TIPO_CARGA_MACRO","GRUPOANTAQ","NAVIO","IMO","TIPO_NAVIO","PORTE_NAVIO","CLIMA_DIA","MARE_DIA","DIA_SEMANA","TURNO","PORTO_ORIGEM","PORTO_DESTINO"
"Descarga","LC","URUGUAI","AMERICA DO SUL","201","Salvador","5/20/2024 7:14","5","2024","5/20/2024 19:14","2024","12","19","Secao 7","Carga 1","CARGA GERAL","Grupo 2","Navio 1","7917034","Tanque","Grande","Instável","Normal","Sexta","Manhã","Salvador","Salvador"
"Descarga","LC","URUGUAI","AMERICA DO SUL","104","Ilhéus","4/22/2024 14:37","4","2024","4/23/2024 11:37","2024","21","14","Secao 6","Carga 3","GRANEL SÓLIDO","Grupo 4","Navio 2","8411779","Graneleiro","Pequeno","Chuva","Normal","Quarta","Tarde","Ilhéus","Ilhéus"
"Descarga","CB","FRANÇA","EUROPA","201","Aratu","8/23/2024 17:07","8","2024","8/24/2024 21:07","2024","28","20","Secao 6","Carga 5","GRANEL SÓLIDO","Grupo 2","Navio 3","7192201","Tanque","Médio","Sol","Alta","Domingo","Manhã","Salvador","Aratu"
"Descarga","CB","PERU","AMERICA DO SUL","201","Aratu","7/5/2024 5:23","7","2024","7/6/2024 7:23","2024","26","3","Secao 10","Carga 2","GRANEL SÓLIDO","Grupo 3","Navio 4","8938859","Frigorificado","Médio","Instável","Alta","Sábado","Tarde","Aratu","Aratu"
"Descarga","CB","ALEMANHA","EUROPA","202","Salvador","6/10/2024 12:17","6","2024","6/10/2024 20:17","2024","8","7","Secao 8","Carga 4","CARGA GERAL","Grupo 3","Navio 5","8110987","Tanque","Pequeno","Instável","Baixa","Sábado","Noite","Salvador","Salvador"
"Descarga","LC","PERU","AMERICA DO SUL","101","Ilhéus","4/22/2024 4:32","4","2024","4/23/2024 15:32","2024","35","4","Secao 3","Carga 2","CARGA GERAL","Grupo 10","Navio 6","7266454","Frigorificado","Médio","Instável","Extrema","Sexta","Tarde","Aratu","Ilhéus"
"Embarque","LC","ITÁLIA","EUROPA","201","Salvador","2/28/2024 21:56","2","2024","2/29/2024 18:56","2024","21","10","Secao 7","Carga 2","CARGA GERAL","Grupo 1","Navio 7","8104733","Breakbulk","Pequeno","Instável","Normal","Domingo","Noite","Ilhéus","Salvador"
"Descarga","CB","EUA","AMERICA DO NORTE","102","Ilhéus","4/11/2024 4:23","4","2024","4/11/2024 18:23","2024","14","16","Secao 1","Carga 1","CARGA GERAL","Grupo 5","Navio 8","8004335","Graneleiro","Pequeno","Instável","Normal","Segunda","Noite","Ilhéus","Ilhéus"
"Descarga","CB","ESPANHA","EUROPA","202","Salvador","3/5/2024 4:42","3","2024","3/6/2024 14:42","2024","34","17","Secao 10","Carga 4","GRANEL SÓLIDO","Grupo 9","Navio 9","9893514","Tanque","Grande","Chuva","Extrema","Sábado","Noite","Ilhéus","Salvador"
"Embarque","LC","CANADÁ","AMERICA DO NORTE","104","Aratu","3/2/2024 7:14","3","2024","3/2/2024 15:14","2024","8","19","Secao 9","Carga 2","GRANEL SÓLIDO","Grupo 1","Navio 10","7297766","Graneleiro","Pequeno","Sol","Normal","Domingo","Tarde","Ilhéus","Aratu"
"Embarque","LC","BRASIL","AMERICA DO SUL","103","Ilhéus","12/8/2024 15:13","12","2024","12/9/2024 3:13","2024","12","16","Secao 7","Carga 2","GRANEL LÍQUIDO","Grupo 2","Navio 11","9763973","Frigorificado","Médio","Chuva","Extrema","Quinta","Noite","Salvador","Ilhéus"
"Descarga","LC","ALEMANHA","EUROPA","101","Ilhéus","2/20/2024 1:25","2","2024","2/21/2024 2:25","2024","25","7","Secao 4","Carga 5","CARGA GERAL","Grupo 3","Navio 12","8769499","Tanque","Médio","Chuva","Alta","Domingo","Manhã","Ilhéus","Ilhéus"
"Descarga","LC","ESPANHA","EUROPA","101","Ilhéus","11/29/2024 17:53","11","2024","11/29/2024 21:53","2024","4","6","Secao 7","Carga 4","CARGA GERAL","Grupo 4","Navio 13","8682084","Graneleiro","Pequeno","Chuva","Normal","Quinta","Tarde","Salvador","Ilhéus"
"Descarga","LC","ESPANHA","EUROPA","201","Aratu","10/11/2024 21:45","10","2024","10/13/2024 8:45","2024","35","10","Secao 4","Carga 1","GRANEL LÍQUIDO","Grupo 6","Navio 14","7239768","Graneleiro","Grande","Chuva","Alta","Segunda","Noite","Aratu","Aratu"
"Embarque","LC","BRASIL","AMERICA DO SUL","205","Salvador","2/4/2024 21:55","2","2024","2/5/2024 16:55","2024","19","19","Secao 4","Carga 5","GRANEL SÓLIDO","Grupo 10","Navio 15","7343863","Frigorificado","Grande","Instável","Baixa","Quarta","Manhã","Salvador","Salvador"
"Embarque","CB","URUGUAI","AMERICA DO SUL","102","Ilhéus","5/15/2024 12:08","5","2024","5/16/2024 11:08","2024","23","3","Secao 1","Carga 4","GRANEL LÍQUIDO","Grupo 2","Navio 16","9255002","Tanque","Grande","Chuva","Alta","Quarta","Manhã","Aratu","Ilhéus"
"Descarga","CB","CHINA","ASIA","102","Aratu","8/12/2024 17:45","8","2024","8/13/2024 16:45","2024","23","4","Secao 3","Carga 3","GRANEL LÍQUIDO","Grupo 2","Navio 17","9320388","Tanque","Médio","Chuva","Alta","Sábado","Tarde","Aratu","Aratu"
"Descarga","LC","CHINA","ASIA","202","Ilhéus","5/15/2024 16:31","5","2024","5/16/2024 12:31","2024","20","14","Secao 5","Carga 1","GRANEL LÍQUIDO","Grupo 6","Navio 18","7548697","Carga Geral","Pequeno","Instável","Extrema","Sexta","Noite","Ilhéus","Ilhéus"
"Descarga","CB","PERU","AMERICA DO SUL","101","Ilhéus","2/8/2024 22:57","2","2024","2/9/2024 11:57","2024","13","19","Secao 9","Carga 2","CARGA GERAL","Grupo 3","Navio 19","7175442","Carga Geral","Médio","Sol","Baixa","Terça","Noite","Salvador","Ilhéus"
"Descarga","LC","CHINA","ASIA","103","Ilhéus","10/13/2024 13:39","10","2024","10/14/2024 2:39","2024","13","6","Secao 7","Carga 1","GRANEL SÓLIDO","Grupo 6","Navio 20","8726850","Tanque","Médio","Sol","Normal","Quinta","Manhã","Salvador","Ilhéus"
"Descarga","LC","ESPANHA","EUROPA","202","Salvador","8/23/2024 11:19","8","2024","8/24/2024 5:19","2024","18","7","Secao 7","Carga 3","CARGA GERAL","Grupo 2","Navio 21","8170735","Carga Geral","Grande","Instável","Extrema","Sábado","Noite","Salvador","Salvador"
"Descarga","CB","CANADÁ","AMERICA DO NORTE","203","Salvador","4/1/2024 18:16","4","2024","4/2/2024 0:16","2024","6","12","Secao 6","Carga 4","CARGA GERAL","Grupo 7","Navio 22","9418385","Tanque","Médio","Sol","Extrema","Segunda","Noite","Salvador","Salvador"
"Descarga","CB","ITÁLIA","EUROPA","102","Ilhéus","12/9/2024 6:23","12","2024","12/10/2024 13:23","2024","31","20","Secao 6","Carga 1","CARGA GERAL","Grupo 9","Navio 23","8297233","Frigorificado","Médio","Chuva","Baixa","Sexta","Manhã","Ilhéus","Ilhéus"
"Embarque","CB","CHINA","ASIA","101","Aratu","12/12/2024 23:57","12","2024","12/13/2024 14:57","2024","15","18","Secao 1","Carga 3","GRANEL SÓLIDO","Grupo 4","Navio 24","8803081","Breakbulk","Grande","Instável","Baixa","Quinta","Tarde","Ilhéus","Aratu"
"Embarque","CB","ESPANHA","EUROPA","105","Ilhéus","8/30/2024 23:10","8","2024","8/31/2024 8:10","2024","9","3","Secao 4","Carga 3","GRANEL SÓLIDO","Grupo 4","Navio 25","7618047","Graneleiro","Pequeno","Sol","Extrema","Sexta","Manhã","Salvador","Ilhéus"
"Embarque","CB","ESPANHA","EUROPA","105","Aratu","4/9/2024 22:44","4","2024","4/11/2024 2:44","2024","28","8","Secao 3","Carga 1","GRANEL LÍQUIDO","Grupo 7","Navio 26","7917886","Tanque","Grande","Instável","Extrema","Segunda","Noite","Ilhéus","Aratu"
"Embarque","CB","CHINA","ASIA","202","Salvador","8/25/2024 21:33","8","2024","8/26/2024 21:33","2024","24","18","Secao 8","Carga 2","PROJETO","Grupo 8","Navio 27","8087128","Tanque","Grande","Chuva","Extrema","Sábado","Manhã","Aratu","Salvador"
"Embarque","LC","EUA","AMERICA DO NORTE","201","Aratu","5/26/2024 7:17","5","2024","5/27/2024 8:17","2024","25","5","Secao 3","Carga 2","GRANEL LÍQUIDO","Grupo 3","Navio 28","9962936","Tanque","Pequeno","Chuva","Extrema","Quarta","Noite","Salvador","Aratu"
"Embarque","CB","ESPANHA","EUROPA","102","Aratu","8/3/2024 12:57","8","2024","8/3/2024 17:57","2024","5","1","Secao 6","Carga 3","GRANEL SÓLIDO","Grupo 7","Navio 29","9257460","Breakbulk","Grande","Sol","Extrema","Terça","Tarde","Salvador","Aratu"
