"SENTIDO","NAVEGACAO","PAIS_PORTO_ESTRANG","BERCO","ATRACACAO","MES_ATRAC","ANO_ATRAC","DESATRACACAO","ANO_DESAT","CAPITULO","SECAO","TIPO_CARGA","GRUPOANTAQ"
"Embarque","CB","AFEGANISTAO","102","7/30/2024 23:25","12","2024","7/31/2924 23:25","2025",""," Cavalos","GRANEL LÍQUIDO","Biodiesel e suas misturas, que não contenham ou que contenham menos de 70 %, em peso, de óleos de petróleo ou de óleos minerais betuminosos. "
"Embarque","CB","AFRICA DO SUL","102","7/30/2024 23:25","12","2024","7/31/2924 23:25","2025",""," Reprodutores de raça pura ","GRANEL LÍQUIDO","Biodiesel"
"Embarque","CB","ALBANIA","102","7/30/2024 23:25","12","2024","7/31/2924 23:25","2025",""," Outros ","GRANEL LÍQUIDO","Misturas que contenham derivados halogenados do metano, do etano ou do propano, não especificadas nem compreendidas noutras posições."
"Embarque","CB","ALEMANHA","102","1/10/2025 9:20","1","2025","1/8/2925 9:29","2025",""," Asininos ","CARGA GERAL"," Que contenham clorofluorcarbonetos (CFC), mesmo que contenham hidroclorofluorcarbonetos (HCFC), perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC); que contenham hidrobromofluorcarbonetos (HBFC); que contenham tetracloreto de carbono; que contenham 1,1,1tricloroetano (metilclorofórmio):"
"Embarque","CB","ANDORRA","102","1/10/2025 9:20","1","2025","1/8/2925 9:29","2025",""," Outros ","CARGA GERAL"," Que contenham clorofluorcarbonetos (CFC), mesmo que contenham hidroclorofluorcarbonetos (HCFC), perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC)"
"Embarque","CB","ANGOLA","102","1/10/2025 9:20","1","2025","1/8/2925 9:29","2025","","Animais vivos da espécie bovina.","CARGA GERAL","Que contenham triclorotrifluoroetanos "
"Embarque","CB","ANGUILLA","102","7/30/2024 23:25","12","2024","7/31/2924 23:25","2025",""," Bovinos domésticos","CARGA GERAL","Outras "
"Embarque","CB","ANTIGUA E BARBUDA","102","1/10/2025 9:20","1","2025","1/8/2925 9:29","2025",""," Reprodutores de raça pura","CARGA GERAL"," Que contenham hidrobromofluorcarbonetos (HBFC) "
"Embarque","LC","ANTILHAS HOLANDESAS","202","7/29/2024 14:00","12","2024","7/29/2924 22:04","2025","","Prenhes ou com cria ao pé ","CARGA GERAL"," Que contenham tetracloreto de carbono "
"Desembarque","LC","ARABIA SAUDITA","202","7/29/2024 14:00","12","2024","7/29/2924 22:04","2025","","Outros ","CARGA GERAL"," Que contenham 1,1,1tricloroetano (metilclorofórmio) "
"Desembarque","LC","ARGELIA","202","7/29/2024 14:00","12","2024","7/29/2924 22:04","2025",""," Outros","GRANEL SÓLIDO"," Que contenham bromoclorodifluorometano (halon1211), bromotrifluorometano (halon1301) ou dibromotetrafluoroetanos (halon2402) "
"Embarque","LC","ARGENTINA","202","7/29/2024 14:00","12","2024","7/29/2924 22:04","2025","","Para reprodução","GRANEL SÓLIDO"," Que contenham hidroclorofluorcarbonetos (HCFC), mesmo que contenham perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC), mas que não contenham clorofluorcarbonetos (CFC):"
"Desembarque","LC","ARMENIA","202","7/29/2024 14:00","12","2024","7/29/2924 22:04","2025","","Prenhes ou com cria ao pé ","GRANEL SÓLIDO"," Que contenham substâncias das subposições 2903.41 a 2903.48"
"Embarque","CB","ARUBA","102","02/01/2025 09:45","1","2025","1/2/2925 9:55","2025","","Outros ","GRANEL LÍQUIDO","Que contenham clorodifluorometano e pentafluoroetano "
"Embarque","CB","AUSTRALIA","102","02/01/2025 09:45","1","2025","1/2/2925 9:55","2025","","Outros ","GRANEL LÍQUIDO","Outras "
"Embarque","CB","AUSTRIA","102","02/01/2025 09:45","1","2025","1/2/2925 9:55","2025",""," Búfalos","GRANEL LÍQUIDO"," Outras, que contenham substâncias das subposições 2903.71 a 2903.75"
"Embarque","CB","AZERBAIDJAO","102","1/15/2025 7:34","1","2025","1/15/2925 7:34","2025",""," Reprodutores de raça pura","GRANEL LÍQUIDO","Que contenham clorodifluorometano e clorotetrafluoroetano "
"Embarque","CB","BAHAMAS, ILHAS","102","1/15/2025 7:34","1","2025","1/15/2925 7:34","2025","","Prenhes ou com cria ao pé ","GRANEL LÍQUIDO","Outras "
"Embarque","CB","BANGLADESH","102","1/15/2025 7:34","1","2025","1/15/2925 7:34","2025","","Outros ","GRANEL LÍQUIDO"," Outras "
"Embarque","CB","BARBADOS","102","1/15/2025 7:34","1","2025","1/15/2925 7:34","2025",""," Outros","GRANEL LÍQUIDO"," Que contenham brometo de metila (bromometano) ou bromoclorometano "
"Embarque","CB","BAREIN","102","1/15/2025 7:34","1","2025","1/15/2925 7:34","2025","","Para reprodução","GRANEL LÍQUIDO"," Que contenham trifluorometano (HFC23) ou perfluorcarbonetos (PFC), mas que não contenham clorofluorcarbonetos (CFC) ou hidroclorofluorcarbonetos (HCFC):"
"Embarque","CB","BELARUS","102","05/01/2025 17:00","1","2025","1/5/2925 17:04","2025","","Prenhes ou com cria ao pé ","GRANEL LÍQUIDO"," Que contenham trifluorometano (HFC23) "
"Embarque","CB","BELGICA","102","05/01/2025 17:00","1","2025","1/5/2925 17:04","2025","","Outros ","GRANEL LÍQUIDO"," Outras "
"Embarque","LC","BELIZE","201","09/01/2025 09:25","1","2025","1/9/2925 9:25","2025","","Outros ","GRANEL SÓLIDO"," Que contenham outros hidrofluorcarbonetos (HFC), mas que não contenham clorofluorcarbonetos (CFC) ou hidroclorofluorcarbonetos (HCFC):"
"Embarque","LC","BENIN","201","09/01/2025 09:25","1","2025","1/9/2925 9:25","2025",""," Outros ","GRANEL SÓLIDO"," Que contenham, em massa, 15 % ou mais de 1,1,1trifluoroetano (HFC143a) "
"Embarque","CB","BERMUDAS","102","08/01/2025 01:23","1","2025","1/8/2925 1:23","2025","","Animais vivos da espécie suína.","GRANEL LÍQUIDO"," Outras, não mencionadas na subposição acima, que contenham, em massa, 55 % ou mais de pentafluoroetano (HFC125), mas que não contenham derivados fluorados não saturados dos hidrocarbonetos acíclicos (HFO) "
"Embarque","CB","BOLIVIA","102","08/01/2025 01:23","1","2025","1/8/2925 1:23","2025",""," Reprodutores de raça pura ","GRANEL LÍQUIDO"," Outras, não mencionadas nas subposições acima, que contenham, em massa, 40 % ou mais de pentafluoroetano (HFC125) "
"Embarque","CB","BONAIRE, SAINT EUSTATIUS E SABA","102","08/01/2025 01:23","1","2025","1/8/2925 1:23","2025",""," Outros","GRANEL LÍQUIDO"," Outras, não mencionadas nas subposições acima, que contenham, em massa, 30 % ou mais de 1,1,1,2 tetrafluoroetano (HFC134a), mas que não contenham derivados fluorados não saturados dos hidrocarbonetos acíclicos (HFO) "
"Embarque","CB","BOSNIA-HERZEGOVINA","102","08/01/2025 01:23","1","2025","1/8/2925 1:23","2025",""," De peso inferior a 50 kg ","GRANEL LÍQUIDO"," Outras, não mencionadas nas subposições acima, que contenham, em massa, 20 % ou mais de difluorometano (HFC32) e 20 % ou mais de pentafluoroetano (HFC125) "
"Embarque","CB","BOTSUANA","102","08/01/2025 01:23","1","2025","1/8/2925 1:23","2025",""," De peso igual ou superior a 50 kg ","GRANEL LÍQUIDO"," Outras, não mencionadas nas subposições acima, que contenham substâncias das subposições 2903.41 a 2903.48 "
"Embarque","CB","BOUVET, ILHA","102","08/01/2025 01:23","1","2025","1/8/2925 1:23","2025","","Animais vivos das espécies ovina e caprina.","GRANEL LÍQUIDO"," Outras "
"Embarque","CB","BRASIL","201","7/31/2024 0:00","12","2024","7/31/2924 4:04","2025",""," Ovinos","GRANEL SÓLIDO"," Outras "
"Embarque","CB","BRUNEI","201","7/31/2024 0:00","12","2024","7/31/2924 4:04","2025","","Reprodutores de raça pura","GRANEL SÓLIDO","Polímeros de etileno, em formas primárias."
"Embarque","CB","BULGARIA","201","7/31/2024 0:00","12","2024","7/31/2924 4:04","2025","","Prenhes ou com cria ao pé ","GRANEL SÓLIDO"," Polietileno de densidade inferior a 0,94"
"Desembarque","LC","BURKINA FASO","202","03/01/2025 07:40","1","2025","1/3/2925 7:40","2025","","Outros ","GRANEL SÓLIDO","Com carga "
"Desembarque","LC","BURUNDI","202","03/01/2025 07:40","1","2025","1/3/2925 7:40","2025","","Outros ","GRANEL SÓLIDO","Sem carga "
"Desembarque","LC","BUTAO","202","03/01/2025 07:40","1","2025","1/3/2925 7:40","2025",""," Caprinos","GRANEL SÓLIDO"," Polietileno de densidade igual ou superior a 0,94"
"Desembarque","LC","CABO VERDE","301","03/01/2025 03:20","1","2025","1/3/2925 3:29","2025","","Reprodutores de raça pura ","GRANEL SÓLIDO","Com carga"
"Desembarque","LC","CAMAROES","301","03/01/2025 03:20","1","2025","1/3/2925 3:29","2025","","Outros ","GRANEL SÓLIDO","Vulcanizado, de densidade superior a 1,3 "
"Embarque","CB","CAMBOJA","201","1/23/2025 15:05","1","2025","1/23/2925 15:05","2025","","Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhasd'angola (pintadas), das espécies domésticas, vivos.","GRANEL SÓLIDO","Outros "
"Embarque","CB","CANADA","201","1/23/2025 15:05","1","2025","1/23/2925 15:05","2025",""," De peso não superior a 185 g","GRANEL SÓLIDO","Sem carga"
"Embarque","CB","CANARIAS","201","1/23/2025 15:05","1","2025","1/23/2925 15:05","2025",""," Aves da espécie Gallus domesticus","GRANEL SÓLIDO","Vulcanizado, de densidade superior a 1,3 "
"Embarque","CB","CATAR","201","1/3/2025 7:20","1","2025","1/3/2925 7:29","2025","","De linhas puras ou híbridas, para reprodução ","GRANEL SÓLIDO","Outros "
"Embarque","CB","CAYMAN","301","07/01/2025 05:25","1","2025","1/7/2925 5:25","2025","","Outros ","GRANEL SÓLIDO"," Copolímeros de etileno e acetato de vinila"
"Embarque","CB","CAZAQUISTAO","301","13/01/2025 00:05","1","2025","1/13/2925 4:05","2025",""," Peruas e perus ","GRANEL SÓLIDO","Nas formas previstas na Nota 6 a) deste Capítulo "
"Embarque","CB","CHADE","202","15/01/2025 14:55","1","2025","1/15/2925 22:55","2025",""," Patos ","GRANEL SÓLIDO","Outros "
"Embarque","CB","CHILE","202","03/02/2025 02:40","2","2025","2/3/2925 2:40","2025",""," Gansos ","GRANEL SÓLIDO"," Copolímeros de etileno e alfaolefina, de densidade inferior a 0,94 "
"Embarque","LC","CHINA","201","1/15/2025 21:30","1","2025","1/15/2925 21:31","2025",""," Galinhasd'angola (pintadas) ","GRANEL SÓLIDO"," Outros"
"Embarque","CB","CHIPRE","102","29/01/2025 07:08","1","2025","1/29/2925 7:08","2025",""," Outros","GRANEL LÍQUIDO","Copolímeros de etileno e ácido acrílico "
"Embarque","CB","CHRISTMAS, ILHA (NAVIDAD)","102","29/01/2025 07:08","1","2025","1/29/2925 7:08","2025",""," Aves da espécie Gallus domesticus ","GRANEL LÍQUIDO","Copolímeros de etileno e monômeros com radicais carboxílicos, inclusive com metacrilato de metila ou acrilato de metila como terceiro monômero "
"Embarque","CB","CINGAPURA","102","29/01/2025 07:08","1","2025","1/29/2925 7:08","2025",""," Outros ","GRANEL LÍQUIDO","Polietileno clorossulfonado "
"Embarque","CB","COCOS (KEELINGS)","102","29/01/2025 07:08","1","2025","1/29/2925 7:08","2025","","Outros animais vivos.","GRANEL LÍQUIDO","Polietileno clorado "
"Embarque","CB","COLOMBIA","102","29/01/2025 07:08","1","2025","1/29/2925 7:08","2025",""," Mamíferos","GRANEL LÍQUIDO","Copolímeros de etileno  ácido metacrílico, com um conteúdo de etileno igual ou superior a 60 %, em peso "
"Embarque","CB","COMORES","102","29/01/2025 07:08","1","2025","1/29/2925 7:08","2025",""," Primatas ","GRANEL LÍQUIDO","Outros "
"Embarque","CB","CONGO","301","23/01/2025 13:40","1","2025","1/23/2925 13:40","2025",""," Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixesboi (manatins) e dugongos
(mamíferos da ordem Sirenia); otárias e focas, leõesmarinhos e morsas (mamíferos da
subordem Pinnipedia) ","GRANEL SÓLIDO","Polímeros de propileno ou de outras olefinas, em formas primárias."
"Desembarque","CB","COOK","101","25/01/2025 17:43","1","2025","1/25/2925 17:43","2025",""," Camelos e outros camelídeos (Camelidae) ","GRANEL LÍQUIDO"," Polipropileno"
"Desembarque","CB","COREIA DO NORTE","101","25/01/2025 17:43","1","2025","1/25/2925 17:43","2025",""," Coelhos e lebres ","GRANEL LÍQUIDO","Com carga "
"Desembarque","LC","COREIA DO SUL","201","08/02/2025 20:40","2","2025","374415.23611111","2025",""," Outros ","GRANEL SÓLIDO","Sem carga "
"Desembarque","LC","COSTA DO MARFIM","201","08/02/2025 20:40","2","2025","374415.23611111","2025",""," Répteis (incluindo as serpentes e as tartarugas marinhas) ","GRANEL SÓLIDO"," Poliisobutileno "
"Desembarque","LC","COSTA RICA","201","08/02/2025 20:40","2","2025","374415.23611111","2025",""," Aves","GRANEL SÓLIDO"," Copolímeros de propileno "
"Desembarque","LC","CROACIA","201","28/01/2025 09:00","1","2025","1/16/2925 9:04","2025",""," Aves de rapina ","GRANEL SÓLIDO"," Outros "
"Desembarque","LC","CUBA","201","28/01/2025 09:00","1","2025","1/16/2925 9:04","2025",""," Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas) ","GRANEL SÓLIDO","Polímeros de estireno, em formas primárias."
"Embarque","LC","CURACAO","201","1/10/2025 15:40","1","2025","1/8/2925 15:40","2025",""," Avestruzes; emus (Dromaius novaehollandiae)","GRANEL SÓLIDO"," Poliestireno:"
"Desembarque","LC","DINAMARCA","201","1/10/2025 15:40","1","2025","1/8/2925 15:40","2025","","Avestruzes (Struthio camelus), para reprodução ","GRANEL SÓLIDO"," Expansível"
"Desembarque","LC","DJIBUTI","201","1/10/2025 15:40","1","2025","1/8/2925 15:40","2025","","Outros ","GRANEL SÓLIDO","Com carga "
"Desembarque","LC","DOMINICA","201","1/10/2025 15:40","1","2025","1/8/2925 15:40","2025",""," Outras ","GRANEL SÓLIDO","Sem carga "
"Desembarque","LC","EGITO","201","1/10/2025 15:40","1","2025","1/8/2925 15:40","2025",""," Insetos","GRANEL SÓLIDO"," Outros "
"Desembarque","LC","EL SALVADOR","201","1/10/2025 15:40","1","2025","1/8/2925 15:40","2025",""," Abelhas ","GRANEL SÓLIDO"," Copolímeros de estirenoacrilonitrila (SAN) "
"Desembarque","LC","EMIRADOS ARABES UNIDOS","201","1/10/2025 15:40","1","2025","1/8/2925 15:40","2025",""," Outros ","GRANEL SÓLIDO"," Copolímeros de acrilonitrilabutadienoestireno (ABS)"
"Desembarque","CB","EQUADOR","201","1/20/2025 10:25","1","2025","1/29/2925 8:25","2025",""," Outros ","GRANEL SÓLIDO","Com carga "
"Embarque","CB","ERITREIA","202","15/01/2025 14:55","1","2025","1/15/2925 22:55","2025","","Carnes de animais da espécie bovina, frescas ou refrigeradas.","GRANEL SÓLIDO","Sem carga "
"Embarque","CB","ESLOVAQUIA","202","15/01/2025 14:55","1","2025","1/15/2925 22:55","2025",""," Carcaças e meiascarcaças ","GRANEL SÓLIDO"," Outros"
"Embarque","CB","ESLOVENIA","202","15/01/2025 14:55","1","2025","1/15/2925 22:55","2025",""," Outras peças não desossadas","GRANEL SÓLIDO","Copolímeros de metacrilato de metilbutadienoestireno (MBS) "
"Embarque","CB","ESPANHA","202","15/01/2025 14:55","1","2025","1/15/2925 22:55","2025","","Quartos dianteiros ","GRANEL SÓLIDO","Copolímeros de acrilonitriloestirenoacrilato de butilo (ASA) "
"Embarque","CB","ESTADOS UNIDOS","301","16/01/2025 14:35","1","2025","1/16/2925 22:35","2025","","Quartos traseiros ","GRANEL SÓLIDO","Outros "
"Embarque","CB","ESTONIA","301","16/01/2025 14:35","1","2025","1/16/2925 22:35","2025","","Outras ","GRANEL SÓLIDO","Polímeros de cloreto de vinila ou de outras olefinas halogenadas, em formas primárias."
"Embarque","CB","ESWATINI (ANTIGA SUAZILANDIA","301","16/01/2025 14:35","1","2025","1/16/2925 22:35","2025",""," Desossadas ","GRANEL SÓLIDO"," Poli(cloreto de vinila), não misturado com outras substâncias"
"Embarque","CB","ETIOPIA","301","16/01/2025 14:35","1","2025","1/16/2925 22:35","2025","","Carnes de animais da espécie bovina, congeladas.","GRANEL SÓLIDO","Obtido por processo de suspensão "
"Desembarque","LC","FALKLAND (MALVINAS)","202","1/23/2025 14:23","1","2025","1/23/2925 22:23","2025",""," Carcaças e meiascarcaças ","GRANEL SÓLIDO","Obtido por processo de emulsão "
"Desembarque","LC","FAROE","202","1/23/2025 14:23","1","2025","1/23/2925 22:23","2025",""," Outras peças não desossadas","GRANEL SÓLIDO","Outros "
"Desembarque","LC","FIJI","202","1/23/2025 14:23","1","2025","1/23/2925 22:23","2025","","Quartos dianteiros ","GRANEL SÓLIDO"," Outro poli(cloreto de vinila):"
"Desembarque","LC","FILIPINAS","202","1/23/2025 14:23","1","2025","1/23/2925 22:23","2025","","Quartos traseiros ","GRANEL SÓLIDO"," Não plastificado "
"Desembarque","CB","FINLANDIA","301","17/01/2025 11:50","1","2025","1/17/2925 11:50","2025","","Outras ","GRANEL SÓLIDO"," Plastificado "
"Embarque","CB","FRANCA","202","24/01/2025 04:45","1","2025","1/24/2925 11:55","2025",""," Desossadas ","GRANEL SÓLIDO"," Copolímeros de cloreto de vinila e acetato de vinila "
"Embarque","CB","GABAO","202","24/01/2025 04:45","1","2025","1/24/2925 11:55","2025","","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.","GRANEL SÓLIDO"," Outros copolímeros de cloreto de vinila"
"Embarque","CB","GAMBIA","202","24/01/2025 04:45","1","2025","1/24/2925 11:55","2025",""," Frescas ou refrigeradas","GRANEL SÓLIDO","Com acetato de vinila, com um ácido dibásico ou com álcool vinílico, nas formas previstas na Nota 6 b) deste Capítulo "
"Embarque","CB","GANA","202","1/17/2025 17:23","1","2025","1/17/2925 17:23","2025",""," Carcaças e meiascarcaças ","GRANEL SÓLIDO","Outros "
"Embarque","CB","GEORGIA","202","1/17/2025 17:23","1","2025","1/17/2925 17:23","2025",""," Pernas, pás e respectivos pedaços, não desossados ","GRANEL SÓLIDO"," Polímeros de cloreto de vinilideno"
"Desembarque","CB","GIBRALTAR","201","13/01/2025 23:30","1","2025","1/13/2925 23:31","2025",""," Outras ","GRANEL SÓLIDO","Copolímeros de cloreto de vinilideno, sem emulsionante nem plastificante "
"Desembarque","CB","GRANADA","201","13/01/2025 23:30","1","2025","1/13/2925 23:31","2025",""," Congeladas","GRANEL SÓLIDO","Outros "
"Embarque","CB","GRECIA","202","1/21/2025 23:40","1","2025","1/21/2925 23:40","2025",""," Carcaças e meiascarcaças ","GRANEL SÓLIDO"," Polímeros fluorados:"
"Embarque","CB","GROENLANDIA","202","1/21/2025 23:40","1","2025","1/21/2925 23:40","2025",""," Pernas, pás e respectivos pedaços, não desossados ","GRANEL SÓLIDO"," Politetrafluoretileno"
"Embarque","CB","GUADALUPE","202","1/21/2025 23:40","1","2025","1/21/2925 23:40","2025",""," Outras ","GRANEL SÓLIDO","Nas formas previstas na Nota 6 a) deste Capítulo "
"Embarque","CB","GUAM","202","1/21/2025 23:40","1","2025","1/21/2925 23:40","2025","","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.","GRANEL SÓLIDO","Outros "
"Embarque","CB","GUATEMALA","202","03/02/2025 02:40","2","2025","2/3/2925 2:40","2025",""," Carcaças e meiascarcaças de cordeiro, frescas ou refrigeradas ","GRANEL SÓLIDO"," Outros"
